country,start_date,end_date,est_date,rt,irat,rank
China,2020-03-02,2020-05-29,2020-05-25,0.0,0.01,0.0
Croatia,2020-03-04,2020-05-29,2020-05-25,0.0,0.01,0.0
Iceland,2020-03-07,2020-05-29,2020-05-25,0.0,0.0,0.0
New Zealand,2020-03-06,2020-05-29,2020-05-25,0.0,0.0,0.0
Switzerland,2020-03-04,2020-05-29,2020-05-25,0.0,0.02,0.0
Serbia,2020-03-14,2020-05-29,2020-05-25,0.3,0.1,0.03
Cameroon,2020-03-14,2020-05-29,2020-05-25,0.36,0.46,0.17
Zambia,2020-03-26,2020-05-29,2020-05-25,0.37,0.2,0.07
Morocco,2020-03-10,2020-05-29,2020-05-25,0.47,0.28,0.13
Ghana,2020-03-20,2020-05-29,2020-05-25,0.53,0.25,0.13
Ireland,2020-03-08,2020-05-29,2020-05-25,0.58,0.06,0.03
Denmark,2020-03-05,2020-05-29,2020-05-25,0.58,0.13,0.08
Luxembourg,2020-03-08,2020-05-29,2020-05-25,0.63,0.03,0.02
Greece,2020-03-05,2020-05-29,2020-05-25,0.64,0.06,0.04
Hungary,2020-03-12,2020-05-29,2020-05-25,0.66,0.25,0.16
Austria,2020-03-04,2020-05-29,2020-05-25,0.68,0.04,0.03
Saudi Arabia,2020-03-10,2020-05-29,2020-05-25,0.72,0.75,0.54
Ecuador,2020-03-08,2020-05-29,2020-05-25,0.73,0.22,0.16
United Arab Emirates,2020-03-02,2020-05-29,2020-05-25,0.78,0.8,0.62
Singapore,2020-03-02,2020-05-29,2020-05-25,0.79,0.45,0.36
Italy,2020-03-02,2020-05-29,2020-05-25,0.83,0.1,0.08
Czech Republic,2020-03-09,2020-05-29,2020-05-25,0.83,0.2,0.17
Kuwait,2020-03-02,2020-05-29,2020-05-25,0.84,0.86,0.72
Nigeria,2020-03-06,2020-05-29,2020-05-25,0.87,0.86,0.75
Sudan,2020-03-21,2020-05-29,2020-05-25,0.87,0.95,0.83
