date,location,mlrt,low,high
2020-03-11,South Africa,2.73,0.76,6.5
2020-03-12,South Africa,2.72,1.68,3.67
2020-03-13,South Africa,2.65,1.89,3.31
2020-03-14,South Africa,2.62,2.0,3.15
2020-03-15,South Africa,2.63,2.1,3.09
2020-03-16,South Africa,2.69,2.22,3.1
2020-03-17,South Africa,2.76,2.34,3.13
2020-03-18,South Africa,2.76,2.37,3.09
2020-03-19,South Africa,2.66,2.3,2.96
2020-03-20,South Africa,2.43,2.11,2.72
2020-03-21,South Africa,2.12,1.8,2.38
2020-03-22,South Africa,1.75,1.46,2.02
2020-03-23,South Africa,1.37,1.06,1.62
2020-03-24,South Africa,0.99,0.7,1.26
2020-03-25,South Africa,0.64,0.32,0.9
2020-03-26,South Africa,0.33,0.02,0.58
2020-03-27,South Africa,0.12,0.0,0.42
2020-03-28,South Africa,0.08,0.0,0.39
2020-03-29,South Africa,0.16,0.0,0.45
2020-03-30,South Africa,0.32,0.0,0.6
2020-03-31,South Africa,0.58,0.2,0.91
2020-04-01,South Africa,0.85,0.46,1.19
2020-04-02,South Africa,1.05,0.68,1.4
2020-04-03,South Africa,1.17,0.8,1.51
2020-04-04,South Africa,1.24,0.86,1.56
2020-04-05,South Africa,1.29,0.92,1.61
2020-04-06,South Africa,1.36,1.01,1.68
2020-04-07,South Africa,1.43,1.07,1.73
2020-04-08,South Africa,1.48,1.14,1.78
2020-04-09,South Africa,1.53,1.21,1.83
2020-04-10,South Africa,1.58,1.24,1.85
2020-04-11,South Africa,1.62,1.29,1.88
2020-04-12,South Africa,1.62,1.3,1.87
2020-04-13,South Africa,1.57,1.28,1.83
2020-04-14,South Africa,1.52,1.22,1.76
2020-04-15,South Africa,1.49,1.19,1.72
2020-04-16,South Africa,1.47,1.21,1.72
2020-04-17,South Africa,1.45,1.18,1.68
2020-04-18,South Africa,1.39,1.14,1.63
2020-04-19,South Africa,1.33,1.05,1.54
2020-04-20,South Africa,1.29,1.03,1.51
2020-04-21,South Africa,1.29,1.04,1.51
2020-04-22,South Africa,1.31,1.04,1.51
2020-04-23,South Africa,1.34,1.08,1.54
2020-04-24,South Africa,1.38,1.13,1.58
2020-04-25,South Africa,1.44,1.2,1.64
2020-04-26,South Africa,1.5,1.26,1.69
2020-04-27,South Africa,1.52,1.3,1.71
2020-04-28,South Africa,1.48,1.26,1.66
2020-04-29,South Africa,1.42,1.21,1.6
2020-04-30,South Africa,1.37,1.15,1.54
2020-05-01,South Africa,1.37,1.16,1.54
2020-05-02,South Africa,1.4,1.19,1.56
2020-05-03,South Africa,1.44,1.24,1.6
2020-05-04,South Africa,1.47,1.28,1.63
2020-05-05,South Africa,1.51,1.32,1.66
2020-05-06,South Africa,1.52,1.34,1.67
2020-05-07,South Africa,1.52,1.34,1.66
2020-05-08,South Africa,1.5,1.33,1.64
2020-05-09,South Africa,1.47,1.31,1.61
2020-05-10,South Africa,1.44,1.27,1.57
2020-05-11,South Africa,1.4,1.24,1.53
2020-05-12,South Africa,1.36,1.21,1.49
2020-05-13,South Africa,1.32,1.16,1.44
2020-05-14,South Africa,1.29,1.14,1.41
2020-05-15,South Africa,1.28,1.12,1.39
2020-05-16,South Africa,1.26,1.13,1.39
2020-05-17,South Africa,1.24,1.09,1.35
2020-05-18,South Africa,1.22,1.07,1.33
2020-05-19,South Africa,1.23,1.1,1.35
2020-05-20,South Africa,1.28,1.14,1.39
2020-05-21,South Africa,1.35,1.22,1.46
2020-05-22,South Africa,1.41,1.27,1.51
2020-05-23,South Africa,1.44,1.31,1.54
2020-05-24,South Africa,1.44,1.3,1.53
2020-05-25,South Africa,1.42,1.3,1.52
2020-05-26,South Africa,1.42,1.31,1.52
2020-05-27,South Africa,1.43,1.31,1.52
2020-05-28,South Africa,1.46,1.34,1.54
2020-05-29,South Africa,1.46,1.35,1.55
2020-05-30,South Africa,1.45,1.34,1.53
2020-05-31,South Africa,1.41,1.3,1.49
2020-06-01,South Africa,1.37,1.27,1.45
2020-06-02,South Africa,1.34,1.23,1.41
2020-06-03,South Africa,1.31,1.22,1.39
