date,province,infs,rt
2020-03-12,EC,0,7.651037178046908
2020-03-13,EC,0,6.8169147036667095
2020-03-14,EC,0,6.0671326977904805
2020-03-15,EC,0,5.399868886302293
2020-03-16,EC,1,4.813068149751102
2020-03-17,EC,1,4.303408140875223
2020-03-18,EC,1,3.8650271126500337
2020-03-19,EC,2,3.4982327855962287
2020-03-20,EC,3,3.1997867194496425
2020-03-21,EC,4,2.9555091210476303
2020-03-22,EC,5,2.734559202095845
2020-03-23,EC,6,2.504764797719697
2020-03-24,EC,7,2.2607317367759263
2020-03-25,EC,8,2.0274197713324367
2020-03-26,EC,10,1.8492811294770197
2020-03-27,EC,11,1.759459624317441
2020-03-28,EC,12,1.766367896069235
2020-03-29,EC,13,1.8478345692920353
2020-03-30,EC,15,1.9705116500872222
2020-03-31,EC,17,2.1027543039545895
2020-04-01,EC,20,2.225734391487225
2020-04-02,EC,23,2.3255018365800186
2020-04-03,EC,27,2.4005121481707046
2020-04-04,EC,33,2.4537647862051375
2020-04-05,EC,40,2.494246619658032
2020-04-06,EC,48,2.5207775686850953
2020-04-07,EC,58,2.527994413571739
2020-04-08,EC,71,2.5000651316124767
2020-04-09,EC,86,2.42107774665216
2020-04-10,EC,104,2.2787499174547596
2020-04-11,EC,123,2.0773066502941937
2020-04-12,EC,142,1.8432608026327615
2020-04-13,EC,159,1.6124843029185496
2020-04-14,EC,173,1.4194092824435844
2020-04-15,EC,183,1.2793205032699557
2020-04-16,EC,190,1.196146129241158
2020-04-17,EC,196,1.165363104879799
2020-04-18,EC,200,1.1828697661165815
2020-04-19,EC,206,1.2310982721730026
2020-04-20,EC,212,1.2778079119395964
2020-04-21,EC,221,1.2856664934514426
2020-04-22,EC,230,1.242446965883646
2020-04-23,EC,238,1.1599047445036512
2020-04-24,EC,243,1.065376846955606
2020-04-25,EC,246,0.9813718212565057
2020-04-26,EC,245,0.9307671684668666
2020-04-27,EC,243,0.9320068351907322
2020-04-28,EC,240,0.995731976360291
2020-04-29,EC,240,1.1137474732322654
2020-04-30,EC,244,1.2678342485920067
2020-05-01,EC,253,1.4426843008908259
2020-05-02,EC,269,1.6283638524762876
2020-05-03,EC,293,1.801826327072823
2020-05-04,EC,327,1.9260410566384727
2020-05-05,EC,370,1.9703496784049168
2020-05-06,EC,422,1.929590409242909
2020-05-07,EC,478,1.8213723865060873
2020-05-08,EC,534,1.6698451166869694
2020-05-09,EC,585,1.5010795867436624
2020-05-10,EC,627,1.3405756718917803
2020-05-11,EC,657,1.2113539514747047
2020-05-12,EC,677,1.1260391532180274
2020-05-13,EC,689,1.0818952513277047
2020-05-14,EC,697,1.0672194030030635
2020-05-15,EC,704,1.0719023331745046
2020-05-16,EC,711,1.0927053876053756
2020-05-17,EC,721,1.1246545601722895
2020-05-18,EC,733,1.1591796421866623
2020-05-19,EC,750,1.1910953325795681
2020-05-20,EC,771,1.2309447461273177
2020-05-21,EC,796,1.2939596293744193
2020-05-22,EC,829,1.3832358199292185
2020-05-23,EC,875,1.4754683055335311
2020-05-24,EC,934,1.5372660504515292
2020-05-25,EC,1006,1.5444760950612633
2020-05-26,EC,1084,1.4958048826148207
2020-05-27,EC,1161,1.4029269311680588
2020-03-12,FS,1,6.893085462876009
2020-03-13,FS,1,6.18571411613583
2020-03-14,FS,2,5.556093098356849
2020-03-15,FS,4,4.997774731832646
2020-03-16,FS,6,4.502167840578566
2020-03-17,FS,8,4.0580802607222095
2020-03-18,FS,12,3.6636356458610613
2020-03-19,FS,17,3.3063868462283144
2020-03-20,FS,22,2.9712999436549037
2020-03-21,FS,28,2.632538767870284
2020-03-22,FS,35,2.2758509012620496
