date,province,infs,smooth_infs,rt,low_rt,high_rt
2020-03-16,EC,0.0,0.004115226337448559,12.0,8.49,12.0
2020-03-17,EC,0.0,0.028806584362139922,12.0,8.47,12.0
2020-03-18,EC,0.0,0.1111111111111111,12.0,8.41,12.0
2020-03-19,EC,0.0,0.2962962962962963,11.83,8.24,12.0
2020-03-20,EC,0.0,0.6049382716049383,11.21,7.8,12.0
2020-03-21,EC,1.0,1.0123456790123457,10.25,7.42,12.0
2020-03-22,EC,2.0,1.4753086419753088,8.88,6.21,11.46
2020-03-23,EC,2.0,2.006172839506173,7.95,5.38,10.44
2020-03-24,EC,2.0,2.6934156378600824,6.97,4.68,9.23
2020-03-25,EC,2.0,3.6502057613168724,6.21,4.09,8.2
2020-03-26,EC,5.0,4.890946502057613,5.52,3.62,7.35
2020-03-27,EC,6.5,6.290123456790123,5.0,3.26,6.67
2020-03-28,EC,8.0,7.621399176954732,4.46,2.85,5.99
2020-03-29,EC,10.0,8.685185185185185,3.96,2.41,5.34
2020-03-30,EC,10.0,9.403292181069958,3.53,2.07,4.83
2020-03-31,EC,10.0,9.882716049382715,3.13,1.75,4.38
2020-04-01,EC,10.0,10.386831275720164,2.84,1.53,4.06
2020-04-02,EC,9.5,11.259259259259258,2.64,1.38,3.83
2020-04-03,EC,11.0,12.753086419753087,2.48,1.24,3.62
2020-04-04,EC,13.0,14.981481481481481,2.35,1.14,3.45
2020-04-05,EC,19.0,17.91975308641975,2.28,1.09,3.32
2020-04-06,EC,20.0,21.555555555555557,2.24,1.12,3.25
2020-04-07,EC,23.5,25.839506172839506,2.2,1.13,3.16
2020-04-08,EC,28.0,30.666666666666668,2.17,1.13,3.06
2020-04-09,EC,40.0,36.15020576131687,2.16,1.21,3.03
2020-04-10,EC,43.0,43.04526748971193,2.17,1.27,2.99
2020-04-11,EC,38.0,53.05555555555555,2.24,1.4,3.02
2020-04-12,EC,56.0,67.67078189300412,2.35,1.54,3.06
2020-04-13,EC,65.5,87.10082304526749,2.48,1.72,3.13
2020-04-14,EC,129.0,109.28189300411522,2.51,1.81,3.11
2020-04-15,EC,138.0,131.03703703703704,2.42,1.8,3.0
2020-04-16,EC,152.0,149.04732510288068,2.23,1.63,2.76
2020-04-17,EC,177.0,160.95679012345678,1.96,1.4,2.48
2020-04-18,EC,182.0,165.91975308641975,1.68,1.1,2.16
2020-04-19,EC,189.0,165.25925925925927,1.42,0.85,1.9
2020-04-20,EC,136.0,162.73251028806584,1.23,0.67,1.72
2020-04-21,EC,146.0,162.74897119341566,1.14,0.57,1.63
2020-04-22,EC,157.0,168.17695473251032,1.17,0.59,1.65
2020-04-23,EC,171.0,178.85596707818934,1.25,0.72,1.76
2020-04-24,EC,210.0,192.39506172839506,1.34,0.78,1.81
2020-04-25,EC,195.0,205.67078189300412,1.38,0.86,1.86
2020-04-26,EC,225.0,215.57201646090536,1.35,0.84,1.82
2020-04-27,EC,243.0,219.7201646090535,1.26,0.74,1.71
2020-04-28,EC,239.0,217.41152263374488,1.12,0.6,1.57
2020-04-29,EC,213.0,210.51851851851856,0.98,0.46,1.44
2020-04-30,EC,167.0,202.75720164609058,0.88,0.35,1.35
2020-05-01,EC,203.0,197.28395061728398,0.85,0.29,1.31
2020-05-02,EC,197.0,195.48559670781893,0.87,0.3,1.33
2020-05-03,EC,186.0,197.0246913580247,0.94,0.41,1.43
2020-05-04,EC,198.0,201.85185185185185,1.01,0.49,1.5
2020-05-05,EC,208.0,210.88065843621402,1.11,0.57,1.57
2020-05-06,EC,202.0,226.74074074074076,1.26,0.73,1.71
2020-05-07,EC,238.0,253.31275720164612,1.47,0.96,1.91
2020-05-08,EC,257.0,295.51440329218104,1.73,1.25,2.16
2020-05-09,EC,304.0,357.5637860082304,2.01,1.55,2.41
2020-05-10,EC,404.0,440.9794238683127,2.24,1.81,2.61
2020-05-11,EC,518.0,542.6872427983539,2.35,1.96,2.7
2020-05-12,EC,655.0,655.0,2.33,1.96,2.65
2020-03-11,GP,5.0,5.0,4.57,1.83,8.86
2020-03-12,GP,5.5,8.32304526748971,4.46,2.17,7.09
2020-03-13,GP,9.0,12.378600823045266,4.11,2.24,6.06
2020-03-14,GP,16.0,17.69753086419753,3.8,2.18,5.31
2020-03-15,GP,23.0,24.61728395061728,3.58,2.2,4.83
2020-03-16,GP,28.0,33.38065843621399,3.41,2.21,4.46
2020-03-17,GP,40.0,44.12139917695473,3.25,2.23,4.18
2020-03-18,GP,55.0,56.75308641975308,3.06,2.17,3.89
2020-03-19,GP,66.0,71.30864197530865,2.9,2.06,3.61
2020-03-20,GP,92.0,88.5925925925926,2.76,1.99,3.4
2020-03-21,GP,101.0,110.53086419753085,2.67,1.99,3.28
2020-03-22,GP,101.0,138.97942386831275,2.63,2.0,3.19
2020-03-23,GP,162.0,174.3539094650206,2.6,2.02,3.12
2020-03-24,GP,241.0,214.64609053497944,2.53,1.99,3.01
2020-03-25,GP,243.0,256.40329218106996,2.4,1.9,2.85
2020-03-26,GP,300.0,294.8559670781894,2.2,1.71,2.61
2020-03-27,GP,346.0,324.53909465020575,1.95,1.5,2.36
2020-03-28,GP,401.0,339.7530864197531,1.65,1.2,2.04
2020-03-29,GP,377.0,336.9835390946502,1.32,0.86,1.7
2020-03-30,GP,316.0,316.6172839506173,0.98,0.52,1.37
2020-03-31,GP,314.0,282.65432098765433,0.65,0.16,1.05
2020-04-01,GP,236.0,241.18106995884773,0.26,0.0,0.71
2020-04-02,GP,192.0,198.25308641975312,0.0,0.0,0.54
2020-04-03,GP,139.0,159.63991769547326,0.0,0.0,0.47
2020-04-04,GP,109.0,129.73456790123458,0.0,0.0,0.48
2020-04-05,GP,86.0,111.18518518518518,0.0,0.0,0.53
2020-04-06,GP,80.0,103.61111111111113,0.02,0.0,0.65
2020-04-07,GP,102.5,104.08024691358025,0.32,0.0,0.84
2020-04-08,GP,119.0,108.51028806584362,0.58,0.01,1.06
2020-04-09,GP,123.0,113.9567901234568,0.78,0.12,1.31
2020-04-10,GP,108.0,119.37860082304526,0.94,0.26,1.48
2020-04-11,GP,109.0,124.89506172839508,1.04,0.39,1.59
2020-04-12,GP,152.0,130.58436213991772,1.11,0.5,1.67
2020-04-13,GP,142.5,136.94444444444446,1.17,0.55,1.7
2020-04-14,GP,127.0,145.5781893004115,1.24,0.67,1.79
2020-04-15,GP,135.0,158.88477366255142,1.36,0.76,1.86
2020-04-16,GP,168.0,177.81275720164612,1.5,0.95,2.01
2020-04-17,GP,205.0,200.4506172839506,1.63,1.07,2.1
2020-04-18,GP,236.0,222.58230452674897,1.66,1.13,2.12
